"id";"itemID";"filename";"title";"titleAttribute";"hits"
"304";"806";"Bank_of_America_Plaza_Mt._Laurel.pdf";"Fact Sheet";"Bank_of_America_Plaza_Mt._Laurel.pdf";"494"
"57";"809";"180_1_2009111937.pdf";"Fact Sheet";"180_1_2009111937.pdf";"100"
"58";"811";"186_1_2009090913.pdf";"Fact Sheet";"186_1_2009090913.pdf";"85"
"59";"741";"192_1_2011021022.pdf";"Fact Sheet";"192_1_2011021022.pdf";"103"
"466";"731";"South_Crossing.pdf";"Fact Sheet";"South_Crossing.pdf";"70"
"62";"755";"241_1_2010070133.pdf";"Fact Sheet";"241_1_2010070133.pdf";"667"
"63";"753";"238_1_2010051352.pdf";"Fact Sheet";"238_1_2010051352.pdf";"38"
"64";"744";"196_1_2011062329.pdf";"Fact Sheet";"196_1_2011062329.pdf";"454"
"437";"756";"17_W_Knight_Avenue_1.pdf";"Fact Sheet";"17_W_Knight_Avenue_1.pdf";"151"
"66";"813";"197_1_2010020812.pdf";"Fact Sheet";"197_1_2010020812.pdf";"62"
"67";"814";"199_1_2009102010.pdf";"Fact Sheet";"199_1_2009102010.pdf";"82"
"68";"746";"204_1_2010012716.pdf";"Fact Sheet";"204_1_2010012716.pdf";"57"
"69";"749";"221_1_2010101823.pdf";"Fact Sheet";"221_1_2010101823.pdf";"40"
"288";"1079";"2428_Route_38_Cherry_Hill.pdf";"Fact Sheet";"2428_Route_38_Cherry_Hill.pdf";"195"
"385";"750";"20_Brace_Road.pdf";"Fact Sheet";"20_Brace_Road.pdf";"293"
"72";"751";"225_1_2011012509.pdf";"Fact Sheet";"225_1_2011012509.pdf";"77"
"73";"816";"226_1_2010101822.pdf";"Fact Sheet";"226_1_2010101822.pdf";"78"
"74";"820";"Dunkin_Donuts___Town_Line.pdf";"Fact Sheet";"Dunkin_Donuts___Town_Line.pdf";"615"
"75";"821";"248_1_2010081608.pdf";"Fact Sheet";"248_1_2010081608.pdf";"29"
"76";"758";"5090_Central_Highway_3.pdf";"Fact Sheet";"5090_Central_Highway_3.pdf";"643"
"77";"823";"255_1_2010091714.pdf";"Fact Sheet";"255_1_2010091714.pdf";"595"
"78";"825";"271_1_2011012603.pdf";"Fact Sheet";"271_1_2011012603.pdf";"77"
