"31";"810";"DEFAULT UNIT";"2400-7000";"0.00";"sqft";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;;"1"
"32";"739";"DEFAULT UNIT";"5270.00";"550000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"24900";"388.01";"4 & 5";"0.00";"Law Firm";;"0.00";"30 +/- spaces";;"0.00";;;"0";"Block: 388.01, Lot:,4 & 5";;;;"1"
"34";"740";"DEFAULT UNIT";"5000.00";"1150000.00";"inclusive";"18.00";"sqft";;;"nnn";"0.00";"sqft";;;"161.00";"24.00";"0.00";;;"0.00";"5.5/1000 ";;"0.00";;;"0";"Block: 161.00, Lot:,24.00";"Immediate";;;"1"
"35";"742";"DEFAULT UNIT";"4045.00";"0.00";"sqft";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"52.00";"13.00";"0.00";;;"0.00";"17 spaces";;"0.00";;;"0";"Block: 52.00, Lot:,13.00";"Immediate";;;"1"
"36";"744";"DEFAULT UNIT";"10064.00";"250000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"15180";"25.00";"13.00";"0.00";;;"0.00";"15 spaces";;"0.00";;;"0";"Block: 25, Lot:,13";;;NULL;"1"
"37";"813";"DEFAULT UNIT";"77500.00";"1000000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"107712";"300.00";"13.00";"0.00";;;"0.00";"300 spaces";;"0.00";;;"0";"Block: 300, Lot:,13";;;NULL;"1"
"38";"814";"DEFAULT UNIT";"1838.00";"450000.00";"inclusive";"40000.00";"month";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;NULL;"1"
"41";"748";"DEFAULT UNIT";"1840.00";"225000.00";"inclusive";"2000.00";"sqft";;;"utilities";"0.00";"sqft";;"7439";"433.00";"7.00";"0.00";;;"0.00";"Ample";;"0.00";;;"0";"Block: 433.16, Lot:,7";"Immediate";;NULL;"1"
"42";"749";"DEFAULT UNIT";"2750.00";"250000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"1107.00";"8.00";"0.00";;;"0.00";"10 +/- spaces";;"0.00";;;"0";"Block: 1107, Lot:,8";"Immediate";;NULL;"1"
"43";"841";"DEFAULT UNIT";"12290.00";"399000.00";"sqft";"4.00";"sqft";;;"nnn";"0.00";"sqft";;"14000";"21.00";"1.00";"0.00";;;"0.00";"30 +/- spaces";;"0.00";;;"0";"Block: 21, Lot:,1.14";;;NULL;"1"
"44";"840";"Building 1";"123000";"2000000.00";"inclusive";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";;;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;"(6) Tailgate";"12.00";"1"
"45";"840";"Building 2";"68000";"0.00";"call";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";;;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;"6 Tailgate/1 Drive-in";"24.00";"1"
"46";"750";"Suite 300";"2000-3000";"0.00";"inclusive";"18.00";"sqft";;;"utilities";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";"4/1,000";;"0.00";;;"0";"Block: 0.00, Lot:,0.00";"Immediate";;"0.00";"1"
"47";"751";"DEFAULT UNIT";"3000.00";"400000.00";"inclusive";"9.00";"sqft";;;"nnn";"0.00";"sqft";;;"20101.00";"16.00";"0.00";;;"0.00";"18 spaces";;"0.00";;;"0";"Block: 20101, Lot:,16";"Immediate";;"0.00";"1"
"48";"816";"DEFAULT UNIT";"3035.00";"240000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"10.00";"1.00";"0.00";;;"0.00";"12 spaces";;"0.00";;;"0";"Block: 10, Lot:,1";;;"0.00";"1"
"49";"752";"DEFAULT UNIT";"2600-8000";"0.00";"inclusive";"13.00";"sqft";;;"electric";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"1"
"50";"819";"DEFAULT UNIT";"29000.00";"3675000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"67770";"0.00";"0.00";"0.00";;;"0.00";"525 spaces";;"0.00";;;"0";"Block: , Lot:,";"Immediate";;"0.00";"1"
"51";"753";"DEFAULT UNIT";"2100.00";"350000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"115.00";"9.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 115.00, Lot:,9.00";"Immediate";;"0.00";"0"
"52";"754";"DEFAULT UNIT";"14000.00";"700000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"30546";"22.00";"8.00";"0.00";;;"0.00";"86 spaces";;"0.00";;;"0";"Block: 22, Lot:,8, 9, 13, 14, 15 & 3";;;"0.00";"1"
"53";"755";"DEFAULT UNIT";"5000.00";"550000.00";"inclusive";"15.00";"sqft";;;;"0.00";"sqft";;;"52.00";"1.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 52.00, Lot:,1.00";"Immediate";;"0.00";"1"
"54";"820";"Store";"1100-1400";"0.00";"inclusive";"0.00";"sqft";;;"nnn";"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";"Immediate";;"0.00";"1"
"55";"821";"DEFAULT UNIT";"2700.00";"299000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"64.00";"1.00";"0.00";;;"0.00";"50 spaces";;"0.00";;;"0";"Block: 64, Lot:,1";"Immediate";;"0.00";"1"
"56";"756";"DEFAULT UNIT";"3750.00";"750000.00";"inclusive";"10.75";"sqft";;;;"0.00";"sqft";;;"97.00";"6.00";"7500.00";;;"0.00";"23 spaces";;"0.00";;;"0";"Block: 97.00, Lot:,6.00";;;"0.00";"1"
"57";"757";"Office";"1890";"0.00";"inclusive";"16.00";"sqft";;;"nnn";"0.00";"sqft";;;"1103.00";"1.00";;;;"0.00";;;"0.00";;;"0";"Block: 1103.00, Lot:,1.00";"Immediate";;"0.00";"1"
"58";"757";"Retail";"900";"0.00";"inclusive";"16.00";"sqft";;;"nnn";"0.00";"sqft";;;"1103.00";"1.00";;;;"0.00";;;"0.00";;;"0";"Block: 1103.00, Lot:,1.00";"Immediate";;;"1"
"60";"758";"Suite 4";"675.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"0"
"61";"758";"Suite 10";"2610.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 0.00, Lot:,0.00";;;"0.00";"0"
"62";"823";"DEFAULT UNIT";"2500.00";"325000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"7525";"11.00";"3.00";"0.00";;;"0.00";"One (1) plus on street parking";;"0.00";;;"0";"Block: 11.07, Lot:,3.13";"Immediate";;"0.00";"1"
"63";"753";"Suite J";"2000.00";"350000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"115.00";"9.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 115.00, Lot:,9.00";"Immediate";;"0.00";"1"
