"189";"993";"default unit";"1250-3500"
"190";"994";"default unit";"2000"
"191";"995";"default unit";"8800"
"192";"996";"default unit";"2850"
"193";"997";"default unit";"6000"
"194";"998";"default unit";"4285"
"195";"999";"default unit";"19000"
"196";"1000";"default unit";"5200-6600"
"197";"1001";"default unit";"3000"
"198";"1002";"Office";"1890"
"199";"1002";"Retail";"900"
"200";"1016";"retail";"1320-2640"
"202";"805";"Unit 2";"3000"
"204";"1017";"Suite 1";"1000"
"206";"1017";"Suite 2";"2000"
"207";"0";"default unit";"2500"
"208";"1018";"default unit";"2500"
"209";"1019";"default unit";"5000-10472"
"210";"1020";"Office";"1600"
"211";"1020";"Shop";"1350"
"212";"1021";"default unit";"2003"
"213";"1022";"Office";"2500"
"214";"1022";"Warehouse";"10000"
"215";"1023";"End-Cap Unit";"1600-6000"
"216";"1024";"default unit";"4000-8000"
"217";"1025";"End Cap";"2700"
"218";"1026";"default unit";"32070"
"219";"1027";"default";"1600-3200"
"220";"1028";"default unit";"2800-4200"
"221";"1029";"default unit";"2400"
"222";"1030";"default unit";"5000-15000"
"223";"1031";"default unit";"3727"
"224";"1032";"default unit";"12000"
"225";"1033";"Suites A and B";"4000"
"226";"1034";"I & H";"2000-4000"
"227";"1035";"retail";"800"
"228";"1036";"retail unit";"6400"
"229";"1037";"retail unit";"1080"
"230";"1038";"retail unit";"1267"
"232";"820";"Free Standing";"1900"
"233";"1039";;"32000"
"234";"1040";;"10000"
"235";"1041";;"10000"
"236";"1042";;"8740"
"237";"1051";;"8600"
"238";"1052";;"21066"
"239";"1053";;"1010-1400"
"240";"1054";;
"241";"1055";;"2000"
"242";"1056";;"4500"
"245";"1057";"7.5 acre parcel";
"246";"1057";"2.0 acre parcel";
"247";"1058";;"21379"
"248";"1059";;"3000"
"249";"1060";;
"250";"1061";;"23000"
"251";"1062";;"23000"
"252";"1063";;"4600"
"253";"1064";;"3150"
"254";"1065";;"1100"
"255";"1066";;"1100"
"256";"1067";"default";"1000-3000"
"257";"1068";"default";"3000-9120"
"258";"1069";;"10"
"259";"1069";;"120"
"260";"1069";;"240"
"261";"1069";"DEFAULT_UNIT";"360"
"262";"1070";"DEFAULT_UNIT";"3400"
"263";"1071";"DEFAULT_UNIT";"4700"
"264";"1072";"DEFAULT_UNIT";"1000"
"265";"1073";"DEFAULT_UNIT";"1000"
"266";"1074";"DEFAULT_UNIT";"10000-30000"
"267";"1075";"DEFAULT_UNIT";"5400"
"268";"1076";"DEFAULT_UNIT";
"269";"1077";"DEFAULT_UNIT";"10660"
"270";"1078";"DEFAULT_UNIT";"12000"
"271";"1079";"DEFAULT_UNIT";"22160"
"272";"1080";"DEFAULT_UNIT";"5600"
"273";"1089";"DEFAULT_UNIT";"11500"
"280";"1090";"DEFAULT_UNIT";"4100"
"281";"1091";"DEFAULT_UNIT";"1200-2650"
"285";"1092";"1st Floor";"5100"
"286";"1092";"2nd Floor";"1000"
"287";"806";"Unit 6";"1520"
"288";"806";"Unit 7/8";"3040"
"289";"806";"Unit 16";"1265"
"290";"806";"2nd Floor Office";"4042"
"291";"1093";"Warehouse";"21500"
"292";"1093";"Office";"2500"
"293";"1094";"DEFAULT_UNIT";"2804"
"294";"1095";"DEFAULT_UNIT";"3374"
"295";"1096";"DEFAULT_UNIT";"35737"
"296";"1097";"DEFAULT_UNIT";"35737"
"301";"1098";"101";"2350"
"302";"1098";"103";"880"
"303";"1098";"202";"2650"
"304";"1098";"203";"630"
"305";"1099";"DEFAULT_UNIT";"1750"
"306";"1100";"DEFAULT_UNIT";"6000"
"307";"1101";"DEFAULT_UNIT";"2500"
"308";"1102";"DEFAULT_UNIT";
"309";"1103";"DEFAULT_UNIT";"2224"
"310";"1104";"DEFAULT_UNIT";"2200"
"311";"1105";"DEFAULT_UNIT";"2000"
"312";"1106";"DEFAULT_UNIT";"8111"
"313";"1107";"DEFAULT_UNIT";
"314";"1108";"Out parcel";
"315";"1108";"In line stores";"1200"
"317";"1109";"DEFAULT_UNIT";"13000"
"318";"1110";"DEFAULT_UNIT";
"319";"1111";"DEFAULT_UNIT";"1200"
"320";"1124";"DEFAULT_UNIT";"2600"
"321";"1125";"DEFAULT_UNIT";"6883"
"324";"1126";"Suite 106";"2852"
"325";"1126";"Suite 201";"2000"
"326";"1127";"DEFAULT_UNIT";"5283"
"327";"1128";"DEFAULT_UNIT";"3000"
"328";"1129";"DEFAULT_UNIT";
"329";"1130";"DEFAULT_UNIT";"2331"
"330";"1131";"DEFAULT_UNIT";"5500"
"331";"1132";"DEFAULT_UNIT";"32000"
"332";"1133";"Suite 100";"5700"
"333";"1134";"DEFAULT_UNIT";"2000-6000"
"334";"0";"DEFAULT_UNIT";
"335";"1135";"In-Line";"1800-27000"
"336";"1135";"Pad Site";
"337";"1136";"Office";"4000"
"338";"1136";"Warehouse";"3000"
"342";"1137";"In Line";"1800-27000"
"344";"1138";"Suite 211";"1289"
